STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
        403;17281101;17281130;    5;  -999;   3.20;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17281201;17281231;    5;  -999;  -0.30;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17290101;17290131;    5;  -999;  -4.20;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17290201;17290228;    5;  -999;  -1.00;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17290301;17290331;    5;  -999;  -1.20;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17290401;17290430;    5;  -999;   5.50;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17300101;17300131;    5;  -999;   1.80;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17300201;17300228;    5;  -999;   1.10;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17300301;17300331;    5;  -999;   3.70;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17300401;17300430;    5;  -999;   9.00;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17300501;17300531;    5;  -999;  13.30;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17300601;17300630;    5;  -999;  16.20;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17300701;17300731;    5;  -999;  16.80;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17300801;17300831;    5;  -999;  16.40;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17300901;17300930;    5;  -999;  13.00;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
